DATE,NUMBER OF ELECTRIC VEHICLES,VEHICLE MODEL YEAR,VEHICLE MAKE,LOCATION,VEHICLE MODEL
2022/01/01,1,2020,JAGUAR,HALIFAX COUNTY,
2022/01/01,1,2020,KIA,CAPE BRETON COUNTY,
2022/01/01,5,2020,KIA,HALIFAX,
2022/01/01,1,2020,KIA,ANTIGONISH,
2022/01/01,2,2020,KIA,KINGS COUNTY,
2022/01/01,1,2020,KIA,ANNAPOLIS COUNTY,
2022/01/01,1,2020,MINI,HALIFAX,
2022/01/01,8,2020,NISSAN,HALIFAX COUNTY,
2022/01/01,1,2020,NISSAN,KINGS COUNTY,
2022/01/01,1,2020,NISSAN,OUT OF PROVINCE,
2022/01/01,4,2020,PORSCHE,HALIFAX COUNTY,
2022/01/01,3,2020,TELSA,LUNENBURG COUNTY,
2022/01/01,73,2020,TESLA,HALIFAX,
2022/01/01,8,2020,TESLA,KINGS COUNTY,
2022/01/01,1,2020,TESLA,TRURO,
2022/01/01,2,2020,TESLA,COLCHESTER COUNTY,
2022/01/01,2,2020,TESLA,PICTOU COUNTY,
2022/01/01,1,2020,TESLA,HANTS COUNTY,
2022/01/01,1,2020,TESLA,NEW GLASGOW,
2022/01/01,1,2020,TESLA,YARMOUTH COUNTY,
2022/01/01,1,2020,TESLA,ANTIGONISH,
2022/01/01,2,2020,TESLA,CAPE BRETON COUNTY,
2022/01/01,1,2020,TESLA,INVERNESS COUNTY,
2022/01/01,1,2020,TOYOTA,ANNAPOLIS COUNTY,
2022/01/01,2,2020,TOYOTA,OUT OF PROVINCE,
